DriverNumber,BroadcastName,TeamName,Round_Number,Country,Location,Year,Event_Type,Sprint_Qual_Position,Sprint_Race_Position,Qual_Q3_Time,Qual_Position,Sector1Time,Sector2Time,Sector3Time,SpeedST,Stint,Standardized_Time,Race_Position
4,L NORRIS,McLaren,3,Australia,Melbourne,2022,Race,,,78.703,4.0,31.321421052631575,20.260810344827583,40.03556896551724,267.8888888888889,2.0,53.303,5.0
44,L HAMILTON,Mercedes,3,Australia,Melbourne,2022,Race,,,78.825,5.0,31.16085964912281,20.25079310344828,39.80189655172413,270.05357142857144,2.0,28.543,4.0
47,M SCHUMACHER,Haas F1 Team,3,Australia,Melbourne,2022,Race,,,-1.0,15.0,31.50017857142857,20.36594736842105,40.41536842105264,281.27777777777777,2.0,-1.0,13.0
5,S VETTEL,Aston Martin,3,Australia,Melbourne,2022,Race,,,-1.0,18.0,31.563285714285712,20.722590909090908,41.97954545454545,265.09090909090907,1.0,-1.0,19.0
55,C SAINZ,Ferrari,3,Australia,Melbourne,2022,Race,,,79.408,9.0,,18.971,40.172,238.0,1.0,-1.0,20.0
6,N LATIFI,Williams,3,Australia,Melbourne,2022,Race,,,-1.0,19.0,31.562428571428573,20.143701754385965,40.69887719298245,271.16326530612247,3.0,-1.0,16.0
63,G RUSSELL,Mercedes,3,Australia,Melbourne,2022,Race,,,78.933,6.0,31.042754385964912,20.377396551724136,39.72389655172414,272.33962264150944,2.0,25.593,3.0
77,V BOTTAS,Alfa Romeo,3,Australia,Melbourne,2022,Race,,,-1.0,12.0,31.59701754385965,20.140758620689656,40.106344827586206,278.63157894736844,2.0,68.439,8.0
1,M VERSTAPPEN,Red Bull Racing,4,Italy,Imola,2022,Sprint,1.0,1.0,87.999,1.0,28.42443548387097,29.695825396825395,29.556746031746037,276.1587301587302,3.0,0.0,1.0
10,P GASLY,AlphaTauri,4,Italy,Imola,2022,Sprint,17.0,17.0,-1.0,17.0,28.32877049180328,30.612193548387094,30.255451612903222,267.46774193548384,2.0,-1.0,12.0
11,S PEREZ,Red Bull Racing,4,Italy,Imola,2022,Sprint,7.0,3.0,89.808,7.0,28.459225806451613,29.756587301587302,29.7098253968254,274.6190476190476,3.0,16.527,2.0
14,F ALONSO,Alpine,4,Italy,Imola,2022,Sprint,5.0,9.0,89.202,5.0,39.6002,39.9885,44.80016666666666,168.33333333333334,1.0,-1.0,19.0
16,C LECLERC,Ferrari,4,Italy,Imola,2022,Sprint,2.0,2.0,88.778,2.0,28.96520967741936,29.79104761904762,29.781761904761904,269.5079365079365,4.0,56.072,6.0
18,L STROLL,Aston Martin,4,Italy,Imola,2022,Sprint,15.0,15.0,-1.0,15.0,28.5184262295082,30.25722580645161,30.36409677419355,259.01612903225805,2.0,-1.0,10.0
20,K MAGNUSSEN,Haas F1 Team,4,Italy,Imola,2022,Sprint,4.0,8.0,89.164,4.0,28.599564516129032,30.249,29.96744444444445,263.74603174603175,2.0,75.26,9.0
22,Y TSUNODA,AlphaTauri,4,Italy,Imola,2022,Sprint,16.0,12.0,-1.0,16.0,28.388532258064515,30.08642857142857,30.06652380952381,270.1269841269841,2.0,61.11,7.0
23,A ALBON,Williams,4,Italy,Imola,2022,Sprint,20.0,18.0,-1.0,20.0,28.4054262295082,30.617564516129036,30.16117741935484,264.30645161290323,2.0,-1.0,11.0
24,G ZHOU,Alfa Romeo,4,Italy,Imola,2022,Sprint,14.0,20.0,-1.0,14.0,28.60265573770492,30.38301612903226,30.258693548387097,257.2258064516129,2.0,-1.0,15.0
3,D RICCIARDO,McLaren,4,Italy,Imola,2022,Sprint,6.0,6.0,89.742,6.0,29.266803278688528,30.221145161290323,30.32635483870968,258.7096774193548,4.0,-1.0,18.0
